Monica Yao,"""Future-Proofing"" Tedana",Organization: INCF
Emily Thomas,16.4 Open Data for OpenWorm,Organization: INCF
Eugene Lyapustin,360° video filter,Organization: FFmpeg
IASON MANOLOUDIS,3D Traffic Sign Rendering in OSM2World,Organization: OpenStreetMap
ThePhD,7 Years Later: On vector&lt;bool&gt; and optimized Standard Algorithms in libstdc++,Organization: GNU Compiler Collection
Tanay Tummalapalli,[BEAM-6611] A Python Sink for BigQuery with File Loads in Streaming,Organization: The Apache Software Foundation
Ahmed Fathy,[digiKam] Project: Zoomable and Resizable Brush for Healing Clone Tool,Organization: KDE Community
Kumar Mallikarjuna,[GNU Wget] HTTP/2 Test Suite,Organization: The GNU Project
Nadeeshan Gimhana,[OODT-986] A React based new UI for OPSUI,Organization: The Apache Software Foundation
Pranshu Srivastava,`matcher.js` library and `Leaflet.DistortableImage` overhaul,Organization: Public Lab
Christos Chronis,A DIY Robot kit for educators,Organization: Open Technologies Aliance - GFOSS
Frederik Ramcke,A language server for Dhall,Organization: Haskell.Org
Anand,A Neural QA Model for DBpedia - Anand Panchbhai,Organization: DBpedia
Jian Cao,A new framework in support of multiple MPI implementations,Organization: Gentoo Foundation
Harman Deep Singh,A Next Generation GUI for  Visualizing Big Gridded Data in Python,Organization: Earth Science Information Partners
sudo-panda,A parameterized automata Library for VisualStates tool,Organization: JdeRobot - Universidad Rey Juan Carlos
Jongmin Kim,A Rails 6 package transition in Debian,Organization: Ruby
Margaret Norton,A small proposal for global environmental monitoring with Image Sequencer,Organization: Public Lab
dxld,A stronger foundation for interactive Haskell tooling,Organization: Haskell.Org
mstoeckl,A Wayland application proxy,Organization: X.Org Foundation
ajp,Accountability Classifier from Annotated Data,Organization: Red Hen Lab
Keshavan Seshadri,Active Learning Environment In 3Dmol.js,Organization: Open Chemistry
jguertl,Active Learning for Guided Analytics,Organization: KNIME
Shreevari SP,Activity Masking in rav1e,Organization: Mozilla
Alex Mingfei Sun,Actor support on Ignition,Organization: Open Source Robotics Foundation
Akul Abhilash Pillai,Adapting TriforceAFL for NetBSD kernel fuzzing,Organization: The NetBSD Foundation
Pradyumna Bang,Add blockchain and hyperledger support for the ‘Journal of Open Data Publications’,Organization: Open Bioinformatics Foundation
Sage Muhammad Abdullah,Add Cross-DB JSONField,Organization: Django Software Foundation
Song Qiang,Add Driver Support for AD5940 in the IIO Subsystem,Organization: The Linux Foundation
